method,runs,beneficial,ratio_min,ratio_median,ratio_max,regret_median
direct,27,0,1.0,1.0,1.0,115.93830334190231
initial_certificate,27,0,0.21621621621621623,0.3711340206185567,0.656934306569343,510.1449275362318
cost_comparison,27,27,1.4408233276157805,1.894736842105263,2.926829268292683,10.144927536231885
best_tested_fixed,27,27,1.5300546448087433,2.159383033419023,3.14410480349345,0.0
