seed,r,epsilon,low_steps,high_steps,observed_cost,candidate_sources
11,0.05,0.0001,256,10,22.8,power_of_two;legacy_budget;previous_experiment_grid
11,0.05,1e-05,256,13,25.8,power_of_two;legacy_budget;previous_experiment_grid
11,0.05,0.001,257,5,17.85,legacy_budget;previous_experiment_grid
11,0.05,0.0001,257,10,22.85,legacy_budget;previous_experiment_grid
11,0.05,1e-05,257,13,25.85,legacy_budget;previous_experiment_grid
11,0.05,0.001,258,5,17.9,legacy_budget;previous_experiment_grid;previous_online_switch_budget
11,0.05,0.0001,258,10,22.9,legacy_budget;previous_experiment_grid;previous_online_switch_budget
11,0.05,1e-05,258,13,25.9,legacy_budget;previous_experiment_grid;previous_online_switch_budget
11,0.05,0.001,364,5,23.2,previous_experiment_grid;previous_online_switch_budget
11,0.05,0.0001,364,10,28.2,previous_experiment_grid;previous_online_switch_budget
11,0.05,1e-05,364,13,31.2,previous_experiment_grid;previous_online_switch_budget
11,0.05,0.001,458,5,27.900000000000002,legacy_budget;previous_experiment_grid
11,0.05,0.0001,458,10,32.900000000000006,legacy_budget;previous_experiment_grid
11,0.05,1e-05,458,13,35.900000000000006,legacy_budget;previous_experiment_grid
11,0.05,0.001,459,5,27.950000000000003,legacy_budget;previous_experiment_grid
11,0.05,0.0001,459,10,32.95,legacy_budget;previous_experiment_grid
11,0.05,1e-05,459,13,35.95,legacy_budget;previous_experiment_grid
11,0.05,0.001,512,5,30.6,power_of_two;legacy_budget;previous_experiment_grid
11,0.05,0.0001,512,10,35.6,power_of_two;legacy_budget;previous_experiment_grid
11,0.05,1e-05,512,13,38.6,power_of_two;legacy_budget;previous_experiment_grid
11,0.05,0.001,513,5,30.650000000000002,previous_experiment_grid;initial_certificate_budget
11,0.05,0.0001,513,10,35.650000000000006,previous_experiment_grid;initial_certificate_budget
11,0.05,1e-05,513,13,38.650000000000006,previous_experiment_grid;initial_certificate_budget
11,0.05,0.001,911,5,50.550000000000004,previous_experiment_grid;initial_certificate_budget
11,0.05,0.0001,911,10,55.550000000000004,previous_experiment_grid;initial_certificate_budget
11,0.05,1e-05,911,13,58.550000000000004,previous_experiment_grid;initial_certificate_budget
11,0.05,0.001,1024,5,56.2,power_of_two;previous_experiment_grid
11,0.05,0.0001,1024,10,61.2,power_of_two;previous_experiment_grid
11,0.05,1e-05,1024,13,64.2,power_of_two;previous_experiment_grid
11,0.05,0.001,1620,5,86.0,previous_experiment_grid;initial_certificate_budget
11,0.05,0.0001,1620,10,91.0,previous_experiment_grid;initial_certificate_budget
11,0.05,1e-05,1620,13,94.0,previous_experiment_grid;initial_certificate_budget
11,0.15,0.001,0,18,18.0,direct;legacy_budget;previous_experiment_grid
11,0.15,0.0001,0,36,36.0,direct;legacy_budget;previous_experiment_grid
11,0.15,1e-05,0,42,42.0,direct;legacy_budget;previous_experiment_grid
11,0.15,0.001,1,18,18.15,power_of_two;legacy_budget;previous_experiment_grid
11,0.15,0.0001,1,35,35.15,power_of_two;legacy_budget;previous_experiment_grid
11,0.15,1e-05,1,42,42.15,power_of_two;legacy_budget;previous_experiment_grid
11,0.15,0.001,2,17,17.3,power_of_two;legacy_budget;previous_experiment_grid
11,0.15,0.0001,2,23,23.3,power_of_two;legacy_budget;previous_experiment_grid
11,0.15,1e-05,2,42,42.3,power_of_two;legacy_budget;previous_experiment_grid
11,0.15,0.001,4,17,17.6,power_of_two;legacy_budget;previous_experiment_grid
11,0.15,0.0001,4,22,22.6,power_of_two;legacy_budget;previous_experiment_grid
