r_requested,epsilon,n_seeds,n_complete,n_unresolved,n_regret_valid,n_speedup_valid,K1_cont_median,K1_cont_min,K1_cont_max,K1_selected_median,K1_selected_min,K1_selected_max,K1_empirical_median,K1_empirical_min,K1_empirical_max,regret_pct_median,regret_pct_min,regret_pct_max,speedup_median,speedup_min,speedup_max,theory_warm_count,empirical_warm_count,agreement_count,harmful_selected_warm_count,Delta_median,Delta_min,Delta_max
0.050000000000000003,0.001,3,3,0,3,3,142.40532932527589,140.53940157528933,144.8525489036428,142,140,144,31,31,31,121.97802197802203,98.198198198198199,221.56862745098042,1.386138613861386,1.2727272727272727,1.7073170731707319,3,3,3,0,0.20954102300390831,0.11454137912377643,0.2262795843012583
0.050000000000000003,0.0001,3,3,0,3,3,253.23646501895013,249.91832412052878,257.58830520700411,254,249,257,31,31,31,127.22513089005236,94.372294372294377,136.42384105960269,0.9216589861751151,0.89086859688195985,1.1204481792717087,3,3,3,2,0.20954102300390831,0.11454137912377643,0.2262795843012583
0.050000000000000003,1.0000000000000001e-05,3,3,0,3,3,450.32519161424091,444.42460997497017,458.06397941643729,450,444,458,31,31,63,147.58842443729901,124.77341389728096,150.19011406844109,1.075268817204301,1.0389610389610389,1.2158054711246198,3,3,3,0,0.20954102300390831,0.11454137912377643,0.2262795843012583
0.14999999999999999,0.001,3,3,0,3,3,83.343473965143545,82.179873553176122,84.197759940575693,84,82,85,16,16,17,270.58823529411768,246.47887323943661,275,1.1111111111111112,1.0980392156862746,1.1382113821138213,3,3,3,0,0.11728204106407059,0.098508904111312551,0.11908030021715538
0.14999999999999999,0.0001,3,3,0,3,3,148.20798371332981,146.13877705921533,149.7271428737258,148,146,149,17,17,31,145.45454545454541,124.70119521912349,178.75647668393785,0.70921985815602839,0.70546737213403887,0.74349442379182162,3,3,3,3,0.11728204106407059,0.098508904111312551,0.11908030021715538
0.14999999999999999,1.0000000000000001e-05,3,3,0,3,3,263.55520584079835,259.87557825267106,266.25669529630261,264,259,266,17,17,31,157.42092457420921,151.09489051094891,205.75079872204478,0.77519379844961234,0.75614366729678639,0.83594566353187039,3,3,3,3,0.11728204106407059,0.098508904111312551,0.11908030021715538
0.25,0.001,3,3,0,3,3,64.253144876646118,63.027171230564555,65.158350515439352,64,63,66,16,15,17,300,270.58823529411768,340.00000000000006,0.875,0.84848484848484851,0.88888888888888884,3,3,3,3,0.07801881648937925,0.077727171227896144,0.1047840360178308
0.25,0.0001,3,3,0,3,3,114.2600445643877,112.0799208723105,115.86975311370483,114,112,115,31,17,31,197.67441860465115,136.36363636363637,229.26829268292681,0.61538461538461542,0.59259259259259256,0.625,3,3,3,3,0.07801881648937925,0.077727171227896144,0.1047840360178308
0.25,1.0000000000000001e-05,3,3,0,3,3,203.1862846389804,199.30941556602147,206.04879620839469,203,199,206,31,17,31,228.39506172839506,167.03296703296701,311.86440677966101,0.65843621399176955,0.60150375939849621,0.65843621399176955,3,3,3,3,0.07801881648937925,0.077727171227896144,0.1047840360178308
