seed,r,epsilon,method,status,low_steps,high_steps,c1,c2,observed_cost,best_tested_budget,best_tested_cost,direct_cost,cost_ratio,regret_percent,beneficial
12,0.15,1e-05,initial_certificate,complete,923,15,0.15,1.0,153.45,29,20.35,42.0,0.2737047898338221,654.054054054054,False
12,0.15,1e-05,cost_comparison,complete,61,15,0.15,1.0,24.15,29,20.35,42.0,1.7391304347826089,18.67321867321865,True
12,0.25,0.001,direct,complete,0,18,0.25,1.0,18.0,18,10.5,18.0,1.0,71.42857142857142,False
12,0.25,0.001,initial_certificate,complete,223,4,0.25,1.0,59.75,18,10.5,18.0,0.301255230125523,469.0476190476191,False
12,0.25,0.001,cost_comparison,complete,18,6,0.25,1.0,10.5,18,10.5,18.0,1.7142857142857142,0.0,True
12,0.25,0.0001,direct,complete,0,36,0.25,1.0,36.0,29,14.25,36.0,1.0,152.6315789473684,False
12,0.25,0.0001,initial_certificate,complete,397,8,0.25,1.0,107.25,29,14.25,36.0,0.3356643356643357,652.6315789473684,False
12,0.25,0.0001,cost_comparison,complete,34,7,0.25,1.0,15.5,29,14.25,36.0,2.3225806451612905,8.771929824561408,True
12,0.25,1e-05,direct,complete,0,42,0.25,1.0,42.0,29,19.25,42.0,1.0,118.18181818181816,False
12,0.25,1e-05,initial_certificate,complete,705,16,0.25,1.0,192.25,29,19.25,42.0,0.21846553966189858,898.7012987012987,False
12,0.25,1e-05,cost_comparison,complete,42,15,0.25,1.0,25.5,29,19.25,42.0,1.6470588235294117,32.467532467532465,True
13,0.05,0.001,direct,complete,0,18,0.05,1.0,18.0,29,9.45,18.0,1.0,90.47619047619048,False
13,0.05,0.001,initial_certificate,complete,470,8,0.05,1.0,31.5,29,9.45,18.0,0.5714285714285714,233.33333333333334,False
13,0.05,0.001,cost_comparison,complete,39,9,0.05,1.0,10.95,29,9.45,18.0,1.6438356164383563,15.873015873015884,True
13,0.05,0.0001,direct,complete,0,36,0.05,1.0,36.0,29,14.45,36.0,1.0,149.1349480968858,False
13,0.05,0.0001,initial_certificate,complete,836,13,0.05,1.0,54.800000000000004,29,14.45,36.0,0.656934306569343,279.23875432525955,False
13,0.05,0.0001,cost_comparison,complete,44,14,0.05,1.0,16.2,29,14.45,36.0,2.2222222222222223,12.110726643598625,True
13,0.05,1e-05,direct,complete,0,42,0.05,1.0,42.0,29,27.45,42.0,1.0,53.00546448087433,False
13,0.05,1e-05,initial_certificate,complete,1486,26,0.05,1.0,100.3,29,27.45,42.0,0.4187437686939183,265.39162112932604,False
13,0.05,1e-05,cost_comparison,complete,63,26,0.05,1.0,29.15,29,27.45,42.0,1.4408233276157805,6.193078324225865,True
13,0.15,0.001,direct,complete,0,18,0.15,1.0,18.0,19,8.85,18.0,1.0,103.38983050847457,False
13,0.15,0.001,initial_certificate,complete,277,6,0.15,1.0,47.55,19,8.85,18.0,0.37854889589905366,437.2881355932203,False
13,0.15,0.001,cost_comparison,complete,20,6,0.15,1.0,9.0,19,8.85,18.0,2.0,1.6949152542372836,True
13,0.15,0.0001,direct,complete,0,36,0.15,1.0,36.0,21,13.15,36.0,1.0,173.76425855513307,False
13,0.15,0.0001,initial_certificate,complete,492,11,0.15,1.0,84.8,21,13.15,36.0,0.42452830188679247,544.8669201520912,False
13,0.15,0.0001,cost_comparison,complete,40,12,0.15,1.0,18.0,21,13.15,36.0,2.0,36.882129277566534,True
13,0.15,1e-05,direct,complete,0,42,0.15,1.0,42.0,21,16.15,42.0,1.0,160.06191950464398,False
13,0.15,1e-05,initial_certificate,complete,875,19,0.15,1.0,150.25,21,16.15,42.0,0.2795341098169717,830.3405572755418,False
13,0.15,1e-05,cost_comparison,complete,62,19,0.15,1.0,28.299999999999997,21,16.15,42.0,1.4840989399293287,75.23219814241486,True
13,0.25,0.001,direct,complete,0,18,0.25,1.0,18.0,17,10.25,18.0,1.0,75.60975609756098,False
13,0.25,0.001,initial_certificate,complete,217,4,0.25,1.0,58.25,17,10.25,18.0,0.3090128755364807,468.29268292682923,False
13,0.25,0.001,cost_comparison,complete,18,6,0.25,1.0,10.5,17,10.25,18.0,1.7142857142857142,2.4390243902439046,True
13,0.25,0.0001,direct,complete,0,36,0.25,1.0,36.0,29,17.25,36.0,1.0,108.69565217391303,False
13,0.25,0.0001,initial_certificate,complete,385,9,0.25,1.0,105.25,29,17.25,36.0,0.342042755344418,510.1449275362318,False
13,0.25,0.0001,cost_comparison,complete,36,10,0.25,1.0,19.0,29,17.25,36.0,1.894736842105263,10.144927536231885,True
13,0.25,1e-05,direct,complete,0,42,0.25,1.0,42.0,44,24.0,42.0,1.0,75.0,False
13,0.25,1e-05,initial_certificate,complete,684,13,0.25,1.0,184.0,44,24.0,42.0,0.22826086956521738,666.6666666666667,False
13,0.25,1e-05,cost_comparison,complete,43,14,0.25,1.0,24.75,44,24.0,42.0,1.696969696969697,3.125,True
11,0.05,1e-05,best_tested_fixed,complete,45,13,0.05,1.0,15.25,45,15.25,42.0,2.7540983606557377,0.0,True
11,0.05,0.0001,best_tested_fixed,complete,29,10,0.05,1.0,11.45,29,11.45,36.0,3.14410480349345,0.0,True
11,0.05,0.001,best_tested_fixed,complete,47,5,0.05,1.0,7.35,47,7.35,18.0,2.4489795918367347,0.0,True
11,0.15,1e-05,best_tested_fixed,complete,20,17,0.15,1.0,20.0,20,20.0,42.0,2.1,0.0,True
11,0.15,0.0001,best_tested_fixed,complete,20,10,0.15,1.0,13.0,20,13.0,36.0,2.769230769230769,0.0,True
11,0.15,0.001,best_tested_fixed,complete,17,6,0.15,1.0,8.55,17,8.55,18.0,2.1052631578947367,0.0,True
11,0.25,1e-05,best_tested_fixed,complete,19,14,0.25,1.0,18.75,19,18.75,42.0,2.24,0.0,True
11,0.25,0.0001,best_tested_fixed,complete,19,8,0.25,1.0,12.75,19,12.75,36.0,2.823529411764706,0.0,True
11,0.25,0.001,best_tested_fixed,complete,16,5,0.25,1.0,9.0,16,9.0,18.0,2.0,0.0,True
12,0.05,1e-05,best_tested_fixed,complete,29,18,0.05,1.0,19.45,29,19.45,42.0,2.159383033419023,0.0,True
12,0.05,0.0001,best_tested_fixed,complete,29,13,0.05,1.0,14.45,29,14.45,36.0,2.491349480968858,0.0,True
