seed,r_requested,r_actual,n_low,epsilon,K1,K2_gap,cost,direct_cost,cost_over_direct,target_reached,hf_iterations_run,warm_gap,warm_distance,transfer_distance_bound,L1,L2,mu,R1,R2,Delta,K1_continuous,K1_selected,comparison_complete
11,0.050000000000000003,0.050000000000000003,5500,0.001,0,14,14,14,1,1,40,0.046806446546994396,1.0785891330868336,1.0785891330868336,1.1102161353297644,1.0481290031906361,0.01,1.0873419847173953,1.0785891330868336,0.11454137912377643,144.8525489036428,144,1
11,0.050000000000000003,0.050000000000000003,5500,0.001,1,14,14.050000000000001,14,1.0035714285714286,1,40,0.034799894727588931,0.99792018691133411,23.028489239248362,1.1102161353297644,1.0481290031906361,0.01,1.0873419847173953,1.0785891330868336,0.11454137912377643,144.8525489036428,144,1
11,0.050000000000000003,0.050000000000000003,5500,0.001,2,14,14.1,14,1.0071428571428571,1,40,0.027825306264771532,0.9328150159204095,11.57151530918607,1.1102161353297644,1.0481290031906361,0.01,1.0873419847173953,1.0785891330868336,0.11454137912377643,144.8525489036428,144,1
11,0.050000000000000003,0.050000000000000003,5500,0.001,4,13,13.199999999999999,14,0.94285714285714284,1,40,0.016489133253527521,0.79139664838831425,5.8430283441549236,1.1102161353297644,1.0481290031906361,0.01,1.0873419847173953,1.0785891330868336,0.11454137912377643,144.8525489036428,144,1
11,0.050000000000000003,0.050000000000000003,5500,0.001,8,11,11.4,14,0.81428571428571428,1,22,0.0056608203017695091,0.54643624100121102,2.9787848616393497,1.1102161353297644,1.0481290031906361,0.01,1.0873419847173953,1.0785891330868336,0.11454137912377643,144.8525489036428,144,1
11,0.050000000000000003,0.050000000000000003,5500,0.001,16,3,3.7999999999999998,14,0.27142857142857141,1,20,0.0019593387227043735,0.24808699838323092,1.5466631203815631,1.1102161353297644,1.0481290031906361,0.01,1.0873419847173953,1.0785891330868336,0.11454137912377643,144.8525489036428,144,1
11,0.050000000000000003,0.050000000000000003,5500,0.001,31,1,2.5499999999999998,14,0.18214285714285713,1,14,0.0013145458979001434,0.13030837832616113,0.85370098751489221,1.1102161353297644,1.0481290031906361,0.01,1.0873419847173953,1.0785891330868336,0.11454137912377643,144.8525489036428,144,1
11,0.050000000000000003,0.050000000000000003,5500,0.001,32,1,2.6000000000000001,14,0.18571428571428572,1,14,0.0013190464280472547,0.13109128228574643,0.83060224975266972,1.1102161353297644,1.0481290031906361,0.01,1.0873419847173953,1.0785891330868336,0.11454137912377643,144.8525489036428,144,1
11,0.050000000000000003,0.050000000000000003,5500,0.001,33,1,2.6500000000000004,14,0.18928571428571431,1,14,0.0013225921061232881,0.13129508096607431,0.80890343549118815,1.1102161353297644,1.0481290031906361,0.01,1.0873419847173953,1.0785891330868336,0.11454137912377643,144.8525489036428,144,1
11,0.050000000000000003,0.050000000000000003,5500,0.001,63,1,4.1500000000000004,14,0.29642857142857143,1,10,0.0012777334313773814,0.11536188313392157,0.4782548372209921,1.1102161353297644,1.0481290031906361,0.01,1.0873419847173953,1.0785891330868336,0.11454137912377643,144.8525489036428,144,1
11,0.050000000000000003,0.050000000000000003,5500,0.001,64,1,4.2000000000000002,14,0.29999999999999999,1,10,0.0012774170517209082,0.11514741339151945,0.4725718144382231,1.1102161353297644,1.0481290031906361,0.01,1.0873419847173953,1.0785891330868336,0.11454137912377643,144.8525489036428,144,1
